"sample_id","x","y","zone","disease","epithelial","APC","CTL","Treg","T_helper"
"S037",2.10490977624431,2.5952630629763,"Low","Condition_B",0.604114184582274,0.390147270287929,-0.307751214392577,1.07665498739335,0.813374834321276
"S038",4.77200108347461,5.90362953487784,"Intermediate","Condition_B",-0.470714075828144,0.467041227070299,0.342296315278515,0.186923082720434,-0.0119404142674204
"S039",7.5482327491045,4.08493215683848,"Intermediate","Condition_A",-1.27439423593975,0.0825153656056005,1.6652175191779,-0.579481003589572,1.08747940144376
"S040",4.46829279884696,8.66428900277242,"High","Condition_A",-0.971237061086139,-0.827798401871998,-0.936198812152184,-0.113586387982658,-1.26779524599268
"S041",3.71201802045107,1.08160905074328,"Low","Condition_B",1.29360349864347,0.895551548516621,0.00355561633780795,0.84488350110072,1.77259612673805
"S042",8.74778404599056,3.21889936458319,"High","Condition_A",-0.51825519669862,0.70654165460038,1.87922110765406,-0.361188190388846,0.684891912908395
"S043",4.34597307350487,1.68287327513099,"Low","Condition_A",0.935949756744622,1.61990221476963,0.579158411881209,-1.63762622537898,-0.553968964491502
"S044",4.40136776538566,0.515799163840711,"Low","Condition_B",1.26140502902628,0.921650024798899,-0.23849241623052,0.66410223334191,0.524329644763543
"S045",0.819568333681673,5.53281432949007,"Intermediate","Condition_A",-0.308286346350174,0.153135311451754,0.349698011709819,-1.11189103895032,-0.965765481498788
"S046",0.34619303420186,1.4192115701735,"Low","Condition_B",1.15582923610658,0.440667391223543,0.39786434311852,-0.530303038014486,-1.50688140698758
"S047",9.28651981754228,1.58884574659169,"Intermediate","Condition_A",0.515809206138488,0.916802156675437,-0.0853502772097973,-0.430257813937106,1.8315301639844
"S048",2.94566297205165,7.78809013543651,"Intermediate","Condition_A",-0.623987885811829,-1.28379729696259,-0.984645422058229,0.562621980807807,0.835900071947281
"S049",5.19224287476391,4.43749058060348,"Intermediate","Condition_B",1.04405114723267,2.12581462912794,1.11613867812618,-0.213184594532618,1.07768711408164
"S050",2.36396424937993,1.3152249972336,"Low","Condition_B",2.2631988513445,1.47704777751357,-0.474881028382261,0.247418344364011,-0.314147196382512
"S051",9.71809808630496,5.66444758325815,"High","Condition_A",-1.4139069008298,-1.05340706499928,-0.423024243078682,0.102699398198887,-0.0323991482808993
"S052",6.32511501200497,7.73881137603894,"High","Condition_A",-0.737345535422409,-0.155591192095826,1.44501437771718,-0.731889037721527,-1.0536257893211
"S053",9.58269165828824,4.21214055735618,"High","Condition_B",-1.79773368443677,-0.583219731777561,0.784232353812036,-0.833889307689061,-0.03899305062585
"S054",8.863539788872,0.608305823989213,"Intermediate","Condition_B",-0.0981176064248499,-0.918462916804679,-1.36528617773343,1.00251681832661,0.594746967410134
"S055",5.23183763725683,3.85446432977915,"Intermediate","Condition_B",0.187226659750732,0.0310769224852843,0.175501104949243,1.00981522889285,0.511231713619383
"S056",7.15915634296834,4.62405115133151,"High","Condition_B",-0.742487765949301,0.0713243592282316,0.00506477840548474,-0.936573152101712,-0.287173714645023
"S057",7.40642732940614,0.414238313678652,"Intermediate","Condition_A",0.341582978175932,-0.144955184082141,-0.439071255610998,-0.155085797405742,0.759841538262253
"S058",0.458963238634169,4.10725653171539,"Low","Condition_A",0.513501092308188,0.986080472391407,1.23949230368754,0.140936771104995,1.38381549591539
"S059",9.57792913774028,3.92531022662297,"High","Condition_B",-1.00935730661096,-0.0499645817139188,0.708502632675353,-0.339325105696384,0.230713510820893
"S060",2.01136683113873,6.4235687837936,"Intermediate","Condition_B",1.06606056229984,-0.852661205248821,-0.306610472793744,1.56489815168744,0.0209689908520977
"S061",2.98414198216051,0.359358880668879,"Low","Condition_B",1.76953112240872,0.549258552834387,0.155415832746951,0.64151563649765,1.22967796781662
"S062",8.95572668174282,0.930447664577514,"Intermediate","Condition_B",-0.412607919926405,0.961457361081738,0.122589925237547,0.248492423274114,0.720147597586238
"S063",5.66075772047043,8.75491647049785,"High","Condition_B",-0.743546222969135,-1.56426603258041,-1.46120351350199,1.43670797077059,0.883625896869996
"S064",4.55507984617725,0.0419797515496612,"Low","Condition_B",1.27197552994907,0.0308258545414115,-1.4767507244184,0.733805586606738,-0.735667932108575
"S065",3.99468305287883,1.57853372162208,"Low","Condition_B",0.873426990621346,0.675972132079589,0.674930749732674,1.50100840129975,0.755254729047287
"S066",0.83005030406639,5.08237889036536,"Low","Condition_A",0.157378549163941,1.24460589710752,1.95873302100358,-1.6843337709747,0.954831485786786
"S067",6.30350710358471,5.58911502128467,"High","Condition_B",-0.190996335881424,-0.521941867552225,-1.77319704429336,-0.539795304316655,-0.932412314517647
"S068",4.65094989864156,3.36441316874698,"Intermediate","Condition_A",0.921390283105482,1.437441344487,0.795200542873714,-0.179958281054149,-0.707899557154843
"S069",5.72378459153697,6.9829278648831,"High","Condition_B",-0.534292026582951,-1.08135347359786,-0.315135558932348,0.092212658759845,-0.00729054916470073
"S070",6.62231693277135,2.84729856764898,"Intermediate","Condition_B",0.136860765782222,0.457004645694621,0.0434314455848617,-0.585710902111181,-0.40941988643091
"S071",8.77908266149461,5.02168753184378,"High","Condition_A",-0.927455425274664,-0.35537811640849,-0.746210713936649,-0.895642018007634,-0.807127561455782
"S072",3.78936987137422,6.41522181918845,"Intermediate","Condition_B",-0.464006959137193,-0.0362339927520989,-0.805634893923713,-0.362830313014997,0.50350030439152
